"Country","CC","CF","GDP","RE","CHE","CHE_GDP","CO2","CO2m","IMD","IMH","IMM","F","Sanitation","Water","U","Tobacco","Tobacco_fem","Tobacco_m","PM","Mortality","Deaths","OAP","OAPc","Population","Population_m","Population_f","PM_squared","Sanitation_Squared","U_Squared","RE_Squared","Tobacco_Squared","IMM_Squared","pm_category","pm_ordinal","Region","Mortality_Category","Mortality_Ordinal"
"AFGHANISTAN","AFG",32.45,500.52298078433,18.51,74.23410411,14.8313194,11238.83,0.297563650500103,72,72,64,4.87,51.0034810931108,73.7846429967308,26.9,23.8,7.5,40.1,52.41704109,59.9,80677,76.818367,57.02542754,37769499,19090409,18679089,2747.54619663075,2601.35508361531,723.61,342.6201,566.44,4096,"Very High","Very High","South Asia","High","High"
"ALGERIA","DZA",99.7,4021.98360796603,0.16,250.56077576,6.25170851,170582.4,3.99440182789199,91,91,80,2.988,86.1385043463065,94.2391398601614,2.5,21,0.7,41.3,32.83308539,23.5,23456,33.39915466,83.68518506,42705368,21756903,20948465,1078.01149622703,7419.84193101866,6.25,0.0256,441,6400,"High","High","Middle East and North Africa","Low","Low"
"ARMENIA","ARM",98.1,4828.50488860645,10.34,549.47436523,11.3798008,6195.6,2.1965523671897,92,92,95,1.575,93.8578716530954,99.9281719305937,3.1,25.8,1.5,50,33.65637939,11.8,444,84.79430389,465.9229727,2820602,1274767,1545834,1132.75187364362,8809.30007124893,9.61,106.9156,665.64,9025,"High","High","Europe and Central Asia","Low","Low"
"AZERBAIJAN","AZE",98,4805.75371765917,1.62,191.75552368,4.0731144,35521,3.54349533028946,94,94,98,1.81,96.1290294533043,95.667747770716,2.5,24.2,0.1,48.2,25.4950546,20.4,3001,68.31981659,131.00702176,10024283,4948191,5076093,649.997809056981,9240.79030363424,6.25,2.6244,585.64,9604,"High","High","Europe and Central Asia","Low","Low"
"BANGLADESH","BGD",23.5,2122.0783861524,26.37,47.66782379,2.620749,92645,0.559733655592985,98,98,97,2.031,54.9102399606066,97.8251365713411,11,35.2,17.9,52.5,63.4255285,30.4,91820,72.05020905,34.34476444,165516222,82164179,83352043,4022.79766550431,3015.1344525314,121,695.3769,1239.04,9409,"Very High","Very High","South Asia","High","High"
"BARBADOS","BRB",100,19002.9623813263,2.79,1171.25622559,6.1940732,1167.27,4.16614319366122,90,90,92,1.623,98.0924623115578,98.5144504186196,3.7,8.5,1.9,15,21.34389367,12.7,39,46.72623062,547.28390409,280180,134222,145957,455.561796996266,9622.13116234439,13.69,7.7841,72.25,8464,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"BELARUS","BLR",99.6,6837.76723174438,7.81,390.24972534,5.86133814,57681.2,6.12342695003417,98,97,98,1.382,99.3407614255289,98.3919868544727,2.5,30.9,13.6,48.2,16.42351285,3.1,310,25.69003105,100.25527491,9419758,4350290,5069468,269.731774334115,9868.58688060385,6.25,60.9961,954.81,9604,"Moderate","Moderate","Europe and Central Asia","Low","Low"
"BELIZE","BLZ",83.1,6210.56554311929,30.43,303.53390503,6.07060003,736.2,1.89208291034323,98,98,96,2.106,88.1985036524971,98.4005497674635,6.8,8.8,1.9,15.6,21.17639652,12.3,94,23.93080711,72.63811297,389095,195944,193151,448.439769572268,7778.97604653954,46.24,925.9849,77.44,9216,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"BENIN","BEN",4.8,1170.96553298105,46.47,27.17067146,2.32052207,7475.5,0.60823677321991,76,76,68,5.13,18.6298545928192,66.672267150753,7.7,7.2,2,12.3,46.8584555,88.6,39723,46.20043564,12.55296802,12290444,6152125,6138319,2195.71485184548,347.071482149587,59.29,2159.4609,51.84,4624,"High","High","Sub-Saharan Africa","High","High"
"BOLIVIA","BOL",86.5,3472.38083136442,13.52,239.17544556,6.88792992,21828.8,1.85346150629409,75,75,79,2.688,63.8163098248026,92.5659538959925,11.9,13.2,5.3,21.1,26.83286559,26.6,6968,23.99159813,57.3820112,11777315,5916395,5860919,720.002675771006,4072.5213996552,141.61,182.7904,174.24,6241,"High","High","Latin America and Caribbean","High","High"
"BOTSWANA","BWA",64.8,6691.16105117407,25.74,408.89599609,6.12193108,7198.3,2.8796632558601,95,95,97,2.883,79.751688865621,92.2214029742791,22.1,19.8,8.9,30.7,24.71873626,37.7,2326,4.49591064,18.38359745,2499702,1233202,1266499,611.015922291439,6360.33187691882,488.41,662.5476,392.04,9409,"Moderate","Moderate","Sub-Saharan Africa","High","High"
"BRAZIL","BRA",96.3,8845.3239312417,47.58,850.43286133,9.61449146,434318,2.05077012882977,70,72,91,1.703,89.298795927984,98.9355439518362,2.6,13.2,9.7,16.7,11.65399121,14.9,43702,24.87984657,211.58640893,211782878,104119798,107663080,135.815511122757,7974.27495418773,6.76,2263.8564,174.24,8281,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"BRUNEI DARUSSALAM","BRN",100,30748.3201899098,0.01,674.65161133,2.19410944,7057.8,16.111932938856,99,99,97,1.819,95.8309192020188,99.9000453399775,5.8,16.2,2.4,30,7.680643971,11.4,74,5.59261751,37.73068246,438048,226876,211173,58.9922918092587,9183.56507510386,33.64,1e-04,262.44,9409,"Low","Low","East Asia and Pacific","Low","Low"
"BURKINA FASO","BFA",10.3,772.166877547544,67.2,41.07073212,5.38121271,5646.5,0.26950158887331,91,91,88,4.971,22.8240692453658,49.0028525018525,14.1,14.9,6.9,22.8,53.67033962,88.2,66533,34.69356155,14.24889954,20951639,10431262,10520378,2880.50535492614,520.938136917253,198.81,4515.84,222.01,7744,"Very High","Very High","Sub-Saharan Africa","High","High"
"CABO VERDE","CPV",79.7,3928.30909558631,22.41,173.98080444,5.06559896,617.2,1.06961509800184,96,97,98,1.932,78.8249564795012,88.5908710915054,14.5,11.7,5.6,17.7,51.11721004,15,153,26.75374603,46.54638289,577030,286974,290056,2612.96916227348,6213.37376399526,210.25,502.2081,136.89,9604,"Very High","Very High","Sub-Saharan Africa","Low","Low"
"CAMBODIA","KHM",34.5,1671.38540009767,53.05,115.25953674,6.89604807,18093.2,1.11633042620485,92,92,84,2.402,66.957416421946,75.3367210731245,6,21.9,6.3,37.4,22.1120864,26.8,8893,64.39125061,74.21705955,16207746,8021264,8186482,488.944364961065,4483.29561390188,36,2814.3025,479.61,7056,"Moderate","Moderate","East Asia and Pacific","High","High"
"CAMEROON","CMR",22.7,1538.68791202148,78.79,56.18640518,3.65157914,9557.3,0.370691707164993,67,67,60,4.623,42.4008580058119,67.9904842171552,6.7,7.5,1.5,13.5,64.47088106,75.1,68152,72.18878174,40.56028247,25782341,12855489,12926852,4156.49450465267,1797.83275962902,44.89,6207.8641,56.25,3600,"Very High","Very High","Sub-Saharan Africa","High","High"
"CHAD","TCD",6.6,701.621200811434,72.78,30.53188515,4.47938061,1583.6,0.0981963885605548,50,50,41,6.412,12.2940188961564,50.4980643454126,31.7,8.5,2.8,14.2,59.2825236,114.3,77923,62.62454605,19.12045365,16126866,8094822,8032044,3514.41760438456,151.142900619051,1004.89,5296.9284,72.25,1681,"Very High","Very High","Sub-Saharan Africa","High","High"
"CHILE","CHL",100,14627.14501648,25.27,1369.48400879,9.33272266,91915.4,4.82762007480769,96,96,95,1.545,100,100,2.6,29.9,27.5,32.3,22.76585719,7.1,1599,32.80002975,449.19116365,19039485,9450404,9589082,518.284253595475,10000,6.76,638.5729,894.01,9025,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"CHINA","CHN",79.4,10143.8602060373,14.33,539.6194458,5.3502779,10762824,7.64543578560038,99,99,99,1.496,91.2881365395444,95.3173719016687,2.5,25.7,1.7,49.7,47.67263439,8,125692,35.23001862,190.1080505,1407745000,719565010,688179990,2272.68006968261,8333.5238728625,6.25,205.3489,660.49,9801,"High","High","East Asia and Pacific","Low","Low"
"COLOMBIA","COL",92.1,6436.50921529531,31.5,522.54925537,8.1165638,79186.7,1.57782014077396,94,92,95,1.765,92.151091537794,96.8925246726353,7.2,8.8,4.7,12.8,22.01072747,13.7,10009,14.12572575,73.81387538,50187406,24779301,25408106,484.472123758613,8491.82367160689,51.84,992.25,77.44,9025,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"CONGO, DEM. REP.","COD",4.2,575.882781272568,96.29,19.85771751,3.54229975,3031.2,0.0337148799163223,73,73,65,6.253,16.4166624601584,35.678057309253,37.7,13,3.1,22.9,35.86088793,84.4,312418,38.49700546,7.64462581,89906890,44600412,45306478,1286.00328312802,269.506806330774,1421.29,9271.7641,169,4225,"High","High","Sub-Saharan Africa","High","High"
"CONGO, REP.","COG",32.2,2288.80808614703,69.97,58.90272522,2.56553078,7006.1,1.25766214248646,79,79,73,4.296,20.3642631107744,73.5958698078761,29.9,14.3,2.2,26.4,39.30341272,52.4,9202,42.17203903,24.84047787,5570733,2781753,2788979,1544.75825143866,414.703212044847,894.01,4895.8009,204.49,5329,"High","High","Sub-Saharan Africa","High","High"
"COSTA RICA","CRI",95.4,12669.3411617396,33.42,914.88470459,7.2212491,7956.4,1.56482445188662,95,97,95,1.632,97.8532216953258,99.7975293659545,3.4,9.1,4.8,13.4,17.42174135,8.2,550,22.32456398,204.24403784,5084532,2546376,2538156,303.5170716663,9575.25299615458,11.56,1116.8964,82.81,9025,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"COTE D'IVOIRE","CIV",28.7,2290.78737894782,62.41,73.64801652,3.28960407,10838.9,0.414528305155615,81,81,73,4.538,34.7779674572536,72.541058171011,4.7,9.7,0.9,18.5,55.62337378,79.7,70460,37.26046365,27.44159242,26147551,13218128,12929424,3093.95971066959,1209.50702045779,22.09,3895.0081,94.09,5329,"Very High","Very High","Sub-Saharan Africa","High","High"
"CUBA","CUB",94,9139.41585605765,23.14,1013.10137939,11.08496857,24418.5,2.15774090266798,99,99,99,1.551,90.6561903272549,94.1484823370466,2.5,18.7,10.9,26.4,17.72659724,5.2,599,10.85016251,109.92314316,11316697,5628282,5688414,314.232249709176,8218.54484465147,6.25,535.4596,349.69,9801,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"CYPRUS","CYP",100,29417.921875,11.97,2043.67858887,6.94943047,7191,5.85187933947248,96,94,86,1.332,99.3958159908827,99.7651923631792,2.5,35.5,23.2,47.7,15.57380293,2.8,37,32.12443161,656.52014389,1228836,615637,613199,242.543337702477,9879.52823649341,6.25,143.2809,1260.25,7396,"Moderate","Moderate","Europe and Central Asia","Low","Low"
"CZECHIA","CZE",100,23664.8478631108,15.88,1803.05273438,7.60487127,97712.9,9.15611790623386,97,97,92,1.71,99.1371345347108,99.8804688935076,2.5,30.9,26.5,35.2,16.75140093,3,335,14.09247494,254.09473064,10671870,5255756,5416114,280.609433117605,9828.17144375335,6.25,252.1744,954.81,8464,"Moderate","Moderate","Europe and Central Asia","Low","Low"
"DOMINICAN REPUBLIC","DOM",90.9,8173.34464573914,14.89,346.50790405,4.23948717,25775.2,2.36863439614581,89,87,96,2.344,87.2031083799599,96.1401141515674,7,10.9,6.8,15,17.72938154,34.3,7250,27.94108391,96.81806168,10881882,5472410,5409472,314.330969790893,7604.38211112703,49,221.7121,118.81,9216,"Moderate","Moderate","Latin America and Caribbean","High","High"
"ECUADOR","ECU",94.5,6233.25816692363,17.73,487.33145142,7.81824636,39631.4,2.28505501120289,85,85,83,2.088,90.0032406646583,95.0112246263964,13.7,11.6,4.3,18.9,19.97447395,13.4,4014,30.87841606,150.48022657,17343740,8672767,8670974,398.979609579229,8100.5833301404,187.69,314.3529,134.56,6889,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"EGYPT, ARAB REP.","EGY",99.9,3017.25833578941,6.23,145.3107605,4.83619261,217908.3,2.06316078338081,95,95,95,3.001,97.2005582635653,98.7614152226307,5,24.4,0.4,48.3,67.88817813,20.3,51294,62.50626373,90.8283265,105618671,53429404,52189268,4608.80472981061,9447.94852674875,25,38.8129,595.36,9025,"Very High","Very High","Middle East and North Africa","Low","Low"
"EL SALVADOR","SLV",90.7,4280.28840404719,19.38,364.13085938,8.502141,7912.7,1.25994054027114,81,81,82,1.838,86.8216058122908,97.8203480942147,8.3,8.3,1.8,14.7,22.32472418,13.3,1394,36.01626587,131.14634278,6280217,2992539,3287678,498.393309713077,7537.99123582481,68.89,375.5844,68.89,6724,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"ESTONIA","EST",100,23424.4847073513,31.34,1598.83752441,6.82277584,10060.7,7.58212010267556,91,91,88,1.66,99.0771583771511,99.9872873090016,2.5,30.5,23.5,37.4,5.893562381,2.3,32,24.0690937,384.82566312,1326898,627427,699471,34.7340775387384,9816.28331209108,6.25,982.1956,930.25,7744,"Low","Low","Europe and Central Asia","Low","Low"
"ESWATINI","SWZ",54.7,3818.54042507683,65.47,259.24450684,6.74539423,1169.5,0.999903386846761,90,90,81,2.921,64.5214314372907,70.4275345963468,11.1,9.3,1.9,16.7,23.34521196,56.9,1697,10.58059025,27.42960165,1169613,579801,589812,544.998921457327,4163.015114717,123.21,4286.3209,86.49,6561,"Moderate","Moderate","Sub-Saharan Africa","High","High"
"ETHIOPIA","ETH",6.2,840.449603427131,89.5,26.22917175,3.23382378,17708,0.155169188831947,68,68,58,4.323,8.65203916056794,47.2539785569372,21.9,5.2,1.4,9,33.7807199,50.9,185220,37.9252243,9.94747167,114120594,57375433,56745161,1141.13703696226,74.8577816360012,479.61,8010.25,27.04,3364,"High","High","Sub-Saharan Africa","High","High"
"FIJI","FJI",47.9,5968.31955666383,26.48,228.35894775,3.81606841,1393.5,1.51720533716581,99,99,96,2.519,93.7099411678697,95.3833140482255,4.9,23.4,10.6,36.2,10.9932094,26.9,502,13.19460773,30.13106855,918465,461366,457099,120.850652912248,8781.5530736856,24.01,701.1904,547.56,9216,"Moderate","Moderate","East Asia and Pacific","High","High"
"GAMBIA, THE","GMB",1.8,722.875350964205,47.32,22.83255005,3.158566,606.9,0.241900479217245,88,88,85,4.869,47.2014093324921,83.8990207770481,18,11.6,0.9,22.2,58.08072376,51.5,4380,20.21388626,4.61534544,2508883,1247342,1261541,3373.37047248543,2227.97304297347,324,2239.1824,134.56,7225,"Very High","Very High","Sub-Saharan Africa","High","High"
"GEORGIA","GEO",87.6,4696.15058555612,24.69,308.56665039,6.65744209,10549.6,2.83579124666916,94,94,99,2.011,86.5320783368937,94.4360269319349,7.8,31.7,7,56.3,17.85586499,9.7,514,46.7677536,144.30969363,3720161,1750910,1969251,318.831914541108,7487.80058130231,60.84,609.5961,1004.89,9801,"Moderate","Moderate","Europe and Central Asia","Low","Low"
"GHANA","GHA",27.3,2167.92544002254,42.6,73.52350616,3.39142489,18039.1,0.572264895729339,97,97,92,3.683,24.9960729195517,85.2423371017475,5.2,3.6,0.4,6.8,53.98926008,47.2,42193,35.78432083,26.30988644,31522290,15723678,15798612,2914.84020398588,624.803661399546,27.04,1814.76,12.96,8464,"Very High","Very High","Sub-Saharan Africa","High","High"
"GREECE","GRC",100,19144.2843875557,18.52,1569.02905273,8.20262337,59990.3,5.59528435262632,99,96,97,1.34,98.9902622377645,99.9999992981031,2.5,34.5,31.2,37.7,14.2538714,4,334,33.64272308,527.86407123,10721582,5254476,5467106,203.172849887738,9799.07201790138,6.25,342.9904,1190.25,9409,"Moderate","Moderate","Europe and Central Asia","Low","Low"
"GUATEMALA","GTM",46.3,4647.80734000427,62.82,278.54898071,6.18663979,19017.8,1.14537281500282,85,85,90,2.61,68.2436687072873,93.5077090807793,16.3,11,1.6,20.4,27.64788197,24.6,9791,55.9891777,155.95727486,16604026,8223795,8380231,764.405377427051,4657.19831862998,265.69,3946.3524,121,8100,"High","High","Latin America and Caribbean","Low","Low"
"GUYANA","GUY",79.5,6477.29672607993,11.31,319.36257935,4.93049145,2795.9,3.50033114116629,99,99,98,2.44,89.1498898157526,94.9483638235288,5,12.6,2.5,22.7,20.10090382,29.4,481,34.83069611,111.23620258,798753,392821,405932,404.046334380891,7947.70285416083,25,127.9161,158.76,9604,"Moderate","Moderate","Latin America and Caribbean","High","High"
"HAITI","HTI",4.1,1345.47505482083,76.37,49.08564227,3.91107914,3317.34,0.297241022260954,51,51,65,2.919,36.9385275856622,66.3209862141568,46.4,7.9,3.2,12.5,19.03230796,62.5,16829,39.03829004,19.1621954,11160438,5535128,5625310,362.228746284279,1364.45482019673,2152.96,5832.3769,62.41,4225,"Moderate","Moderate","Latin America and Caribbean","High","High"
"INDIA","IND",63.3,2050.16378973235,33.27,60.66871643,2.94352531,2423951.4,1.75253436625037,91,91,95,2.109,69.6631460883283,91.5622211412629,14.6,28.1,13.7,42.4,83.19931634,34.3,819727,53.379879,32.38488775,1383112050,714325057,668786993,6922.12623944339,4852.95392292377,213.16,1106.8929,789.61,9025,"Very High","Very High","South Asia","High","High"
"INDONESIA","IDN",81.6,4151.22755454135,19.77,120.58958435,2.90491366,605290.6,2.24528577070833,85,85,88,2.215,82.0727007179025,91.8137421547406,6.2,37.2,3.8,70.6,19.37146134,23.8,108758,34.76155853,41.91881496,269582878,135798442,133784436,375.253514447115,6735.9282031304,38.44,390.8529,1383.84,7744,"Moderate","Moderate","East Asia and Pacific","Low","Low"
"IRAN, ISLAMIC REP.","IRN",96.7,3276.75326508099,1,450.59701538,5.94786263,625251.5,7.22298000274987,99,99,99,1.77,90.0210873435845,97.3236128720162,4.9,14,3.3,24.7,38.01508315,13.5,19049,39.49374771,177.95764934,86564202,43792157,42772045,1445.14654690141,8103.79616652127,24.01,1,196,9801,"High","High","Middle East and North Africa","Low","Low"
"IRAQ","IRQ",99,5621.18169491752,1.04,239.57891846,4.25629616,180687.6,4.34726413932218,84,84,82,3.604,97.8648532741405,97.7787852249274,17.4,18.8,2,35.5,48.46825216,26.2,30399,50.09696198,120.02175982,41563520,20788703,20774818,2349.17146744534,9577.52950636905,302.76,1.0816,353.44,6724,"High","High","Middle East and North Africa","High","High"
"JAMAICA","JAM",84.2,5626.17040261069,9.2,343.06192017,6.09761,8394.3,2.98328969678791,96,96,94,1.37,86.6316041352183,90.997352554366,7.5,9.7,3.9,15.5,15.28940246,13.2,457,16.43945885,56.3975268,2813773,1396657,1417116,233.765827583854,7505.03483504117,56.25,84.64,94.09,8836,"Moderate","Moderate","Latin America and Caribbean","Low","Low"
"JORDAN","JOR",99.9,4159.67140765344,8.46,314.88452148,7.56996918,23147.9,2.16362144761182,89,89,87,2.918,97.2214886294743,98.9513662051964,14.6,34.6,12.7,56.5,30.64558855,15.5,3711,30.33984375,95.53546563,10698683,5555605,5143079,939.152097575891,9452.017851331,213.16,71.5716,1197.16,7569,"High","High","Middle East and North Africa","Low","Low"
"KAZAKHSTAN","KAZ",93.8,9812.59553636276,1.85,270.01306152,2.78745699,204592.2,11.0508703486337,97,97,99,2.9,97.8696948845301,95.4270288711281,2.5,23.5,6.9,40.1,20.29485447,10.2,4093,33.86382675,91.43675834,18513673,8890215,9623458,411.881117958479,9578.47717679102,6.25,3.4225,552.25,9801,"Moderate","Moderate","Europe and Central Asia","Low","Low"
"KENYA","KEN",19.5,1970.0800629654,71.42,86.06783295,4.36111116,19481.9,0.382362032876395,91,91,89,3.469,35.2957947881613,60.8607832568561,25.6,11.5,2.9,20.1,21.61458718,39.4,57117,24.29976273,20.91427993,50951450,25272193,25679257,467.19037896182,1245.79312972799,655.36,5100.8164,132.25,7921,"Moderate","Moderate","Sub-Saharan Africa","High","High"
"KIRIBATI","KIR",10,1410.01508996396,42.59,163.10388184,11.38678551,73.6,0.592397034795277,97,94,94,3.368,44.0010104812494,73.7493673795618,4,41.7,28.2,55.2,9.468882294,51.4,178,0.1049399,0.17116105,124241,60390,63851,89.6597318976267,1936.08892337102,16,1813.9081,1738.89,8836,"Low","Low","East Asia and Pacific","High","High"
"KOREA, REP.","KOR",100,31902.4169048194,3.23,2595.22338867,8.14101028,612133.7,11.8252835873752,98,98,98,0.918,99.8540106204028,99.7657984771461,2.5,21.4,6,36.8,27.44033926,3.1,1025,30.24508095,784.92746245,51764822,25874966,25889856,752.972218703897,9970.82343697952,6.25,10.4329,457.96,9604,"High","High","East Asia and Pacific","Low","Low"
"KUWAIT","KWT",100,30666.2206640015,0.06,1643.56970215,5.35958719,93863.6,21.1352142487222,92,92,97,2.159,100,100,2.5,17.9,2.3,33.5,60.96648013,8.8,501,10.7205658,176.19997404,4441100,2738222,1702878,3716.91169944168,10000,6.25,0.0036,320.41,9409,"Very High","Very High","Middle East and North Africa","Low","Low"
